CC+VB+VBG+PRP	and start chomping them
CC+VBD+JJR	but seemed longer
CD+CD	four thousand
CD+CD+NNS	ten thousand words
CD+JJR+NN	one more minute
CD+NN+IN+DT+NN	two goldfish in a bowl
CD+NNS	four seasons
DT+CD	a thousand
DT+CD+CD	a hundred thousand
DT+CD+NNS	a hundred eyes
DT+JJ	no other
DT+JJ+NN	a descended god
DT+JJ+NN+IN	the true meaning of
DT+JJ+NN+IN+DT+NN	the dark side of the moon
DT+JJ+NN+NN	a perfect porcelain doll
DT+JJ+NN+RB+IN+DT	a sharp knife instead of a
DT+JJ+NN+VBD	the whole world stopped
DT+JJ+NN+VBD+VBG+IN	the little girl was drowning in
DT+JJ+NNS	a few centuries
DT+JJS	the cruelest
DT+JJS+NN+JJ	the happiest man alive
DT+NN	a heartbeat
DT+NN+CC+DT+NN	an arm and a leg
DT+NN+IN	an explosion of
DT+NN+IN+DT	a needle in a
DT+NN+IN+DT+JJ+NN	the start of a new life
DT+NN+IN+DT+NN	a punch in the gut
DT+NN+IN+DT+NN+NN	the size of a postage stamp
DT+NN+IN+NN	a piece of sandpaper
DT+NN+IN+NNP+POS+NN	a circle in dante 's inferno
DT+NN+IN+NNS	the size of texas
DT+NN+IN+PRP$+NN	a hair of his head
DT+NN+JJ+IN+NN	a silo full of grain
DT+NN+MD+VB	the world could end
DT+NN+NN	the angel music
DT+NN+NNS	the devil drives
DT+NN+POS+NN+RB	a day 's march away
DT+NN+RB	a mile away
DT+NN+VBD	the president ate
DT+NN+VBG+RB	the world spinning around
DT+NNS	the hills
DT+NNS+WDT+VBP+NNS	those machines that register earthquakes
DT+VB	a steal
DT+VBN+NN	the promised land
DT+VBZ+DT+JJ+RBS	this is the single most
EX+VBP	there are
IN+CC+DT+NNS	in both the countries
IN+CD+NN+IN+PRP$+NNS	with one word from her lips
IN+DT+IN+NN	in the before christ
IN+DT+JJ	than a faulty
IN+DT+JJ+NN	into the next planet
IN+DT+JJ+NN+IN+DT+NN	on the other side of the universe
IN+DT+NN	in a bubble
IN+DT+NN+CC+RB	to the moon and back
IN+DT+NN+IN	as the quintessence of
IN+DT+NN+IN+DT+NN	in the blink of an eye
IN+DT+NN+IN+PRP$+NN	like the back of my hand
IN+DT+NN+NN	as the sahara desert
IN+DT+NNS	of all times
IN+DT+NNS+IN	from the ruins of
IN+DT+VBG+NN	than the rising sun
IN+IN+DT+NN	out of the world
IN+JJ+IN+DT+NN	as loud as the thunder
IN+JJ+IN+NNS	as large as saucers
IN+JJS+CD+CD+NNS	at least eighty thousand times
IN+NN	to death
IN+NNS	without exceptions
IN+PDT+DT+NN	in all the land
IN+RB	to nowhere
JJ	fabulous
JJ+IN+DT+NN	mute as a fish
JJ+IN+DT+NN+NN	cold as an ice box
JJ+IN+DT+NNS+IN+CD+NNS	sharp like the points of two picks
JJ+IN+NN	same as rapunzel
JJ+JJ	half dead
JJ+NN	orgasmic experience
JJ+NNS	alpine proportions
JJ+NNS+RB+IN	light years away from
JJR+IN+CD	less than zero
JJR+IN+DT+JJ	colder than the arctic
JJR+IN+DT+JJS	more than the best
JJR+IN+DT+NN	brighter than the sun
JJR+IN+NN	whiter than snow
MD+RB+VB+VBG	could not stop eating
MD+VB	must buy
MD+VB+DT+NN	can do no wrong
MD+VB+IN	will die of
MD+VB+NNS	could split rocks
MD+VB+PRP$+NN	will change your life
MD+VB+RP+DT	will soak up any
NN	rocket
NN+CC+NN	tooth and nail
NN+CC+NNS	nothing but minerals
NN+IN	feasting on
NN+IN+DT+NN	kneehigh to a grasshopper
NN+IN+NN	oasis of moisture
NN+IN+NN+RB	day in day out
NN+IN+NNP	stairway to heaven
NN+IN+NNS	sort of shortcircuits
NN+IN+PRP$	pain in my
NN+NN	cupboard door
NN+NNS	blood tears
NN+PDT+PRP$+NN+IN	spending all her time in
NN+PRP$+IN	shower her with
NN+VBD+DT	johnny worshipped the
NN+VBZ+NNS	dog has fleas
NN+VBZ+RB+VB	tomorrow does n't exist
NN+VBZ+VBN+TO	none is left to
NN+WP+VBZ+IN+NN	dog who goes to church
NNP	heaven
NNS	forests
NNS+IN	chains upon
NNS+IN+NN	dregs of mankind
NNS+IN+PRP$	fireworks in my
NNS+IN+PRP$+NNS	floods into my veins
NNS+MD+VB+NNS	pigs will have wings
NNS+VB+JJ+NN	people yell hey taxi
NNS+VBP+IN+NN	angels fear to tread
PRP$+JJ+NN	my monthly money
PRP$+JJ+NN+NN	its own zip code
PRP$+JJ+NNS	my whole senses
PRP$+NN	my life
PRP$+NN+MD+VB+CD+NNS+RBR	his beard will be three inches longer
PRP$+NNS+NN	my muscles itch
PRP+DT	it all
PRP+MD+RB+RB+VB+RP	he could not even turn around
PRP+MD+RB+VB	i could n't believe
PRP+MD+VB+CD+NNS+TO	she 'd need eight arms to
PRP+MD+VB+DT+NN	it must be a dream
PRP+MD+VB+IN	i could live on
PRP+MD+VB+PRP	she 'll hear you
PRP+RB+VBZ+PRP	he only sees himself
PRP+VBD+DT+NN+TO+VB+IN+CD+NN	it took a week to walk from one end
PRP+VBD+IN	i genuflected to
PRP+VBD+PRP$+NN+IN+DT	he lost his shirt in the
PRP+VBD+PRP$+NNS	i broke my ribs
PRP+VBD+PRP+NN	i heard it moo
PRP+VBP+DT	you own the
PRP+VBP+DT+NN	you are a clown
PRP+VBP+DT+NN+IN+DT	you have no conception of the
PRP+VBP+IN	i depend on
PRP+VBP+VBN+PRP$	you 've lost your
PRP+VBZ+DT+NN+RB+VBD+IN	it is a truth universally acknowledged that
PRP+VBZ+JJ	it is unthinkable
PRP+VBZ+PRP$	it hurts my
RB	everywhere
RB+DT+NN	still a kid
RB+DT+NN+MD	even a baby could
RB+IN+PRP$+NNS	up to her eyeballs
RB+JJ	simply colossal
RB+JJ+IN+DT+NN	as big as a barge
RB+NNP	only ufo
RB+PRP	all he
RB+RB+IN+DT+NN	not even with a flower
RB+VBG	almost boiling
RB+VBN+IN+JJ+NN+IN+DT+NN	here throned in blue sky like a sphinx
RB+VBP+NNS	there are mountains
RB+VBZ	only thinks
RP+IN+DT+NN	up to the ceiling
RP+IN+PRP$+NNS+IN	up to our necks in
TO+VB	to stop
TO+VB+DT+NN	to swallow the cow
VB	plunge
VB+DT+CD+NNS	solve a million issues
VB+DT+NN	hit the roof
VB+DT+NN+IN+PRP$	break every bone in his
VB+DT+NN+NN	lift a sumo wrestler
VB+EX+VBZ+DT+NN	move there 's no time
VB+IN	kneel before
VB+IN+NN	go to war
VB+NN+IN	shine savage like
VB+NNS	grow wings
VB+PRP$	fill your
VB+PRP$+NN	give my life
VB+PRP$+NNS	give my possessions
VB+RP	pass out
VBD	catapulted
VBD+DT	covered the
VBD+DT+NN	eclipsed the sun
VBD+DT+NNS+RP	cleared the shelves out
VBD+IN+IN+PRP$+NN	fell out of my chair
VBD+IN+NN	spread like wildfire
VBD+IN+NN+IN	fell in love with
VBD+IN+NNS	burst into flames
VBD+PRP$+NN	made my day
VBD+PRP+IN+DT+NN	stabbed me in the back
VBD+PRP+IN+NN	sentenced me to death
VBD+RP	cracked up
VBD+VBG+DT	was pounding the
VBD+VBN+IN+PRP	were fired at us
VBD+VBN+IN+PRP$+JJ+NN	was scared of his own shadow
VBD+VBN+TO	were made to
VBG	bombarding
VBG+DT	martyrizing the
VBG+DT+JJ+NN+IN	traversing the vast desert of
VBG+DT+NN	being a zombie
VBG+DT+NN+NN	breaking a blood oath
VBG+IN	drilling in
VBG+IN+DT+NN	hanging by a thread
VBG+IN+DT+NN+IN	sinking in a sea of
VBG+IN+JJ+NN	skating on thin ice
VBG+IN+NN	playing with fire
VBG+IN+NN+CC+NN	living on bread and water
VBG+IN+NNS	walking on eggshells
VBG+IN+PRP$+NN	hanging over my head
VBG+IN+VBG	crying for leaving
VBG+NN	shining star
VBG+NN+IN	roaring deluge of
VBG+NNS	building castles
VBG+PRP+RB	tearing me apart
VBG+TO+VB	going to burst
VBN	possessed
VBN+IN	sunk in
VBN+IN+DT+NN	catapulted through the roof
VBN+IN+IN	run out of
VBN+IN+JJ+NN	charged with high treason
VBN+IN+NN	made of butter
VBN+RB	blown away
VBN+RP	steamed up
VBP	scorch
VBP+CD+NNS	miss three shows
VBP+DT	shame the
VBP+DT+JJ+NN	have a horrible face
VBP+DT+NN+TO	need an elevator to
VBP+IN	bend to
VBP+IN+DT	drop from the
VBP+IN+NNS	shine like stars
VBP+JJ	die hard
VBP+JJ+NNS	die many times
VBP+NN+IN	are food for
VBP+PRP+NN	give me diabetes
VBP+RB+RB	do n't ever
VBP+TO+VB	want to die
VBP+WP	are what
VBZ	contaminates
VBZ+CD+NNS+JJR+IN+DT	is ten times better than the
VBZ+DT	is the
VBZ+DT+JJ	is all greek
VBZ+DT+JJ+NN	breaks the sound barrier
VBZ+DT+NN	is a marionette
VBZ+DT+NN+IN	is the root of
VBZ+DT+NN+POS	is the world 's
VBZ+DT+NN+POS+RB	breaks the camel 's back
VBZ+DT+NNS	has no filters
VBZ+IN	gravitates towards
VBZ+IN+NN	turns to gold
VBZ+JJ	is omniscient
VBZ+JJ+IN	is necessary for
VBZ+JJ+PRP$+NN+IN+NN	is worth its weight in gold
VBZ+NN	resembles torture
VBZ+NN+POS+NN	resembles pinocchio 's nose
VBZ+NNP	is bliss
VBZ+NNS	causes hurricanes
VBZ+PRP+RB+RB	turns me upside down
VBZ+RB+VB	does not exist
VBZ+RBR+NN+IN+DT	does more work than both
VBZ+RP+IN+NN	goes up in smoke
VBZ+VBG	is falling
VBZ+VBG+RP+IN	is eating away at
VBZ+VBN+DT+JJ+NN+NN	is considered a high tech game
VBZ+VBZ	is drips
WDT+DT+JJ	that the whole
